Priority-5 4651074260 0 0
Priority-10 3747653793 0 0
Priority-15 2922040584 0 0
Priority-20 2906180081 0 0
Priority-25 2911242168 0 0
Priority-30 2978861687 0 0
Priority-35 2885504485 0 0
Priority-40 2947065757 0 0
Priority-45 3127016631 0 0
Priority-50 3154727884 0 0
Priority-5 5359337150 4698005251 5199653226
Priority-10 4525518883 3813140266 4170081133
Priority-15 3678044923 3648150909 3712123529
Priority-20 3936741421 3561812040 3423472294
Priority-25 3371452995 3436322689 3750065783
Priority-30 4147356698 3631308401 3795481916
Priority-35 3649937076 3608353717 3560081334
Priority-40 4193307081 3669453630 3372722545
Priority-45 3766551227 3298031409 3967968263
Priority-50 4108475070 3488011945 3596720803
Priority-5 4385422729 0 0
Priority-5 5535803951 4860204306 5143096334
Priority-10 3980797928 3716125557 3674024346
Priority-15 3701703325 3464990941 3561759585
Priority-20 4125876402 3642740089 3584510270
Priority-25 3420139723 3656589384 3510052279
Priority-30 4186995908 3962046497 3410999260
Priority-35 4023205223 3487539482 3899768810
Priority-40 3897119460 3428079649 3482918906
Priority-45 3684622849 3506316587 3550123095
Priority-50 3725535184 3538800401 3371039827
